,Title,As of,Rank,Year to Date Rank,Last Week Rank,Title.1,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,year,Viewership Score
176,My Little Pony: A New Gener…,2021-10-10,10,-,5,My Little Pony: A New Gener…,Movie,Yes,2021-09-24,13,2021,42.84615384615385
177,Night Teeth,2021-10-26,10,7,-,Night Teeth,Movie,Yes,2021-10-20,6,2021,16.0
178,Nightbooks,2021-09-21,10,10,-,Nightbooks,Movie,Yes,2021-09-15,5,2021,8.0
179,No One Gets Out Alive,2021-10-01,4,2,-,No One Gets Out Alive,Movie,Yes,2021-09-29,2,2021,12.5
180,Octonauts & The Ring of Fire,2021-04-02,9,10,-,Octonauts & The Ring of Fire,Movie,Yes,2021-03-30,2,2021,2.0
181,Only,2020-07-14,9,7,-,Only,Movie,No,2020-07-05,7,2020,14.0
182,Operation Christmas Drop,2020-11-12,8,6,-,Operation Christmas Drop,Movie,Yes,2020-11-05,7,2020,32.57142857142857
183,Operation Varsity Blues,2021-03-28,7,8,5,Operation Varsity Blues,Movie,Yes,2021-03-17,11,2021,37.09090909090909
184,Outside the Wire,2021-01-24,8,8,1,Outside the Wire,Movie,Yes,2021-01-15,9,2021,44.22222222222222
185,Over the Moon,2020-11-05,10,6,5,Over the Moon,Movie,Yes,2020-10-23,13,2020,49.92307692307692
186,Parker,2021-03-16,10,5,-,Parker,Movie,No,2021-03-04,7,2021,22.285714285714285
187,Passing,2021-11-14,7,10,-,Passing,Movie,Yes,2021-11-10,3,2021,6.0
188,Patriots Day,2020-07-09,9,6,3,Patriots Day,Movie,No,2020-07-01,8,2020,33.5
189,Peppermint,2020-12-09,9,4,6,Peppermint,Movie,No,2020-12-01,8,2020,32.125
190,Peter Rabbit 2,2021-12-13,8,8,-,Peter Rabbit 2,Movie,No,2021-12-09,4,2021,13.75
191,Pets United,2020-09-20,10,10,2,Pets United,Movie,Yes,2020-09-11,9,2020,36.44444444444444
192,Pieces of a Woman,2021-01-11,7,6,-,Pieces of a Woman,Movie,Yes,2021-01-07,4,2021,16.5
193,Prey,2021-09-16,8,5,-,Prey,Movie,Yes,2021-09-10,5,2021,15.4
194,Project Power,2020-08-31,7,8,2,Project Power,Movie,Yes,2020-08-14,17,2020,82.23529411764706
195,Public Enemies,2020-05-22,10,10,-,Public Enemies,Movie,No,2020-05-16,6,2020,14.333333333333334
196,Puss in Boots,2020-09-08,10,10,-,Puss in Boots,Movie,No,2020-09-01,2,2020,1.5
197,Quantum of Solace,2020-09-02,6,9,-,Quantum of Solace,Movie,No,2020-08-31,2,2020,4.5
198,Rango,2021-01-01,8,-,-,Rango,Movie,No,2020-12-28,1,2021,3.0
199,Real Steel,2020-10-01,6,4,-,Real Steel,Movie,No,2020-09-24,7,2020,31.285714285714285
200,Rebecca,2020-10-27,9,7,-,Rebecca,Movie,Yes,2020-10-21,6,2020,22.833333333333332
201,Red Dot,2021-02-16,8,7,-,Red Dot,Movie,Yes,2021-02-11,5,2021,8.8
202,Red Notice,2021-12-12,9,10,9,Red Notice,Movie,Yes,2021-11-12,23,2021,104.6086956521739
203,Replicas,2021-11-04,10,9,-,Replicas,Movie,No,2021-11-01,2,2021,2.5
204,Resort to Love,2021-08-04,9,5,-,Resort to Love,Movie,Yes,2021-07-29,6,2021,24.0
205,Restless,2022-03-02,10,5,-,Restless,Movie,Yes,2022-02-25,4,2022,12.75
206,Rogue City,2020-11-05,9,4,-,Rogue City,Movie,Yes,2020-10-30,6,2020,21.166666666666668
207,Rogue Warfare: The Hunt,2020-08-04,9,3,-,Rogue Warfare: The Hunt,Movie,No,2020-08-01,2,2020,9.0
208,Rust Creek,2020-12-04,9,4,-,Rust Creek,Movie,No,2020-11-30,3,2020,6.333333333333333
209,SAS: Red Notice,2021-09-03,9,5,-,SAS: Red Notice,Movie,No,2021-08-27,7,2021,30.142857142857142
210,Sabotage,2021-05-27,10,10,-,Sabotage,Movie,No,2021-05-19,7,2021,16.142857142857142
211,Safe House,2021-09-30,8,-,5,Safe House,Movie,No,2021-09-16,9,2021,38.0
212,Salt,2020-04-03,9,-,-,Salt,Movie,No,2020-04-01,1,2020,2.0
213,Savages,2021-03-28,8,-,3,Savages,Movie,No,2021-03-16,10,2021,36.8
214,Saving Private Ryan,2021-04-09,8,6,-,Saving Private Ryan,Movie,No,2021-04-01,4,2021,7.5
215,Scary Stories to Tell in th…,2022-01-03,10,-,-,Scary Stories to Tell in th…,Movie,No,2022-01-01,1,2022,1.0
216,Seaspiracy,2021-04-02,10,8,10,Seaspiracy,Movie,Yes,2021-03-24,8,2021,14.75
217,Secret Magic Control Agency,2021-04-03,10,7,6,Secret Magic Control Agency,Movie,Yes,2021-03-25,8,2021,28.25
218,Secrets of the Saqqara Tomb,2020-11-03,10,5,-,Secrets of the Saqqara Tomb,Movie,Yes,2020-10-28,5,2020,14.6
219,Sentinelle,2021-03-09,5,3,-,Sentinelle,Movie,Yes,2021-03-05,4,2021,19.5
220,Shooter,2022-03-11,8,8,-,Shooter,Movie,No,2014-08-01,3,2022,4.0
221,Shrek,2022-03-11,10,10,-,Shrek,Movie,No,2018-05-01,7,2022,7.0
222,Shrek 2,2022-03-11,9,9,7,Shrek 2,Movie,No,2022-03-01,10,2022,20.2
223,Single All the Way,2021-12-07,10,7,-,Single All the Way,Movie,Yes,2021-12-02,5,2021,11.0
224,Single all the Way,2021-12-04,10,7,-,Single all the Way,Movie,Yes,2021-12-02,2,2021,4.5
225,Skylines,2021-03-23,10,7,-,Skylines,Movie,No,2021-03-18,4,2021,5.75
226,Sleepless,2020-05-14,8,4,-,Sleepless,Movie,No,2020-05-09,6,2020,22.666666666666668
227,Sniper: Ghost Shooter,2021-04-14,10,10,7,Sniper: Ghost Shooter,Movie,No,2021-04-01,9,2021,12.666666666666666
228,Snowden,2020-11-06,9,6,-,Snowden,Movie,No,2020-11-01,3,2020,7.0
229,Soul Surfer,2020-05-22,9,9,-,Soul Surfer,Movie,No,2020-05-17,5,2020,11.8
230,Space Sweepers,2021-02-08,8,-,-,Space Sweepers,Movie,Yes,2021-02-05,1,2021,3.0
231,Squared Love,2021-02-15,8,9,-,Squared Love,Movie,Yes,2021-02-11,4,2021,8.25
232,St. Vincent,2022-02-23,10,10,10,St. Vincent,Movie,No,2016-08-10,6,2022,7.166666666666667
233,Step Up Revolution,2021-03-03,10,-,-,Step Up Revolution,Movie,No,2021-03-01,1,2021,1.0
234,Stowaway,2021-05-01,7,6,2,Stowaway,Movie,Yes,2021-04-22,9,2021,42.22222222222222
235,Sweet Girl,2021-09-01,7,7,1,Sweet Girl,Movie,Yes,2021-08-20,12,2021,59.333333333333336
236,Synchronic,2021-04-26,7,7,1,Synchronic,Movie,No,2021-04-16,9,2021,42.0
237,Tall Girl 2,2022-02-15,8,5,-,Tall Girl 2,Movie,Yes,2022-02-11,4,2022,16.0
238,Talladega Nights: The Balla…,2021-07-09,9,8,-,Talladega Nights: The Balla…,Movie,No,2021-07-01,5,2021,8.4
239,Texas Chainsaw Massacre,2022-02-24,10,4,-,Texas Chainsaw Massacre,Movie,Yes,2022-02-18,6,2022,26.0
240,The 2nd,2020-12-04,10,3,-,The 2nd,Movie,No,2020-11-30,4,2020,19.0
241,The BFG,2021-03-28,10,-,-,The BFG,Movie,No,2021-03-15,1,2021,1.0
242,The Babysitter: Killer Queen,2020-09-16,6,6,-,The Babysitter: Killer Queen,Movie,Yes,2020-09-10,6,2020,27.833333333333332
243,The Beast,2020-12-01,8,5,-,The Beast,Movie,Yes,2020-11-27,4,2020,7.75
244,The Boss Baby: Get That Baby,2020-09-06,8,9,-,The Boss Baby: Get That Baby,Movie,Yes,2020-09-01,4,2020,8.0
245,The Christmas Chronicles,2021-12-26,4,4,-,The Christmas Chronicles,Movie,Yes,2018-11-22,12,2021,19.416666666666668
246,The Christmas Chronicles 2,2021-12-26,7,5,-,The Christmas Chronicles 2,Movie,Yes,2020-11-25,24,2021,81.70833333333333
247,The Colony,2022-01-17,8,7,-,The Colony,Movie,No,2022-01-11,6,2022,20.666666666666668
248,The Conjuring 2,2021-02-25,10,8,-,The Conjuring 2,Movie,No,2021-02-21,4,2021,9.5
249,The Croods,2021-01-01,10,-,-,The Croods,Movie,No,2019-07-29,2,2021,1.5
250,The DUFF,2021-10-08,10,10,-,The DUFF,Movie,No,2021-10-01,6,2021,14.333333333333334
251,The Dark Knight,2021-03-13,10,10,10,The Dark Knight,Movie,No,2021-03-01,8,2021,13.5
252,The Devil All the Time,2020-09-23,10,6,-,The Devil All the Time,Movie,Yes,2020-09-16,7,2020,31.142857142857142
253,The Devil Below,2021-06-17,8,10,-,The Devil Below,Movie,No,2021-06-13,3,2021,2.6666666666666665
254,The Dig,2021-02-07,7,9,3,The Dig,Movie,Yes,2021-01-29,9,2021,34.111111111111114
255,The Father Who Moves Mountains,2021-09-23,6,6,-,The Father Who Moves Mountains,Movie,Yes,2021-09-17,4,2021,10.75
256,The Forgotten Battle,2021-10-20,7,6,-,The Forgotten Battle,Movie,Yes,2021-10-15,5,2021,13.2
257,The Frozen Ground,2020-09-04,9,6,-,The Frozen Ground,Movie,No,2020-08-27,6,2020,24.5
258,The Green Hornet,2020-04-21,10,10,-,The Green Hornet,Movie,No,2020-04-18,2,2020,1.5
259,The Guilty,2021-10-12,8,5,4,The Guilty,Movie,Yes,2021-10-01,11,2021,44.81818181818182
260,The Half of It,2020-05-04,10,9,-,The Half of It,Movie,Yes,2020-05-01,2,2020,2.5
261,The Hangover,2020-04-09,10,10,-,The Hangover,Movie,No,2019-07-01,3,2020,2.0
262,The Harder They Fall,2021-11-17,10,9,4,The Harder They Fall,Movie,Yes,2021-11-03,14,2021,62.857142857142854
263,The Healer,2020-06-05,8,7,-,The Healer,Movie,No,2020-06-01,4,2020,9.5
264,The Help,2020-06-08,9,9,-,The Help,Movie,No,2020-06-01,6,2020,14.166666666666666
265,The Ice Road,2021-07-08,10,10,4,The Ice Road,Movie,Yes,2021-06-25,13,2021,56.69230769230769
266,The Impossible,2020-11-16,8,4,2,The Impossible,Movie,No,2020-11-01,11,2020,41.63636363636363
267,The Kissing Booth,2020-07-30,8,8,-,The Kissing Booth,Movie,Yes,2020-05-11,6,2020,12.333333333333334
268,The Kissing Booth 2,2020-08-05,9,6,1,The Kissing Booth 2,Movie,Yes,2020-07-24,12,2020,59.916666666666664
269,The Kissing Booth 3,2021-08-21,10,8,1,The Kissing Booth 3,Movie,Yes,2021-08-11,9,2021,41.111111111111114
270,The Last Blockbuster,2021-03-22,10,10,-,The Last Blockbuster,Movie,No,2021-03-15,5,2021,3.8
271,The Last Days of American C…,2020-06-11,10,7,-,The Last Days of American C…,Movie,Yes,2020-06-05,6,2020,21.5
272,The Last Letter From Your L…,2021-07-29,10,7,-,The Last Letter From Your L…,Movie,Yes,2021-07-23,5,2021,15.6
273,The Life Ahead,2020-11-16,7,9,-,The Life Ahead,Movie,Yes,2020-11-13,2,2020,4.0
274,The Little Rascals,2021-04-18,8,-,4,The Little Rascals,Movie,No,2021-04-02,7,2021,20.428571428571427
275,The Longest Yard,2022-01-12,10,9,9,The Longest Yard,Movie,No,2015-04-01,8,2022,15.875
276,The Losers,2021-08-09,9,9,3,The Losers,Movie,No,2021-08-01,8,2021,27.625
277,The Lost Daughter,2022-01-05,8,8,-,The Lost Daughter,Movie,Yes,2021-12-31,5,2022,18.2
278,The Lost Husband,2020-08-21,9,7,1,The Lost Husband,Movie,No,2020-08-10,11,2020,51.36363636363637
279,The Loud House Movie,2021-08-30,8,7,2,The Loud House Movie,Movie,Yes,2021-08-20,10,2021,43.6
280,The Lovebirds,2020-05-28,10,8,-,The Lovebirds,Movie,Yes,2020-05-22,6,2020,24.666666666666668
281,The Lucky One,2022-02-03,10,-,-,The Lucky One,Movie,No,2022-02-01,1,2022,1.0
282,The Main Event,2020-04-15,9,8,-,The Main Event,Movie,Yes,2020-04-10,3,2020,3.6666666666666665
283,The Midnight Sky,2021-01-02,6,5,1,The Midnight Sky,Movie,Yes,2020-12-23,10,2021,50.0
284,The Mitchells vs. The Machines,2021-05-31,9,9,6,The Mitchells vs. The Machines,Movie,Yes,2021-04-30,31,2021,128.74193548387098
285,The Next Three Days,2021-02-03,9,6,2,The Next Three Days,Movie,No,2021-01-22,9,2021,37.888888888888886
286,The Nut Job,2020-07-01,8,7,3,The Nut Job,Movie,No,2014-08-13,11,2020,33.36363636363637
287,The Old Guard,2020-07-27,8,9,3,The Old Guard,Movie,Yes,2020-07-10,14,2020,67.71428571428571
288,The Outpost,2020-10-07,9,7,-,The Outpost,Movie,No,2020-10-01,6,2020,23.5
289,The Paramedic,2020-09-18,7,9,-,The Paramedic,Movie,Yes,2020-09-16,2,2020,4.0
290,The Platform,2020-04-02,9,5,4,The Platform,Movie,Yes,2020-03-20,10,2020,56.0
291,The Players Club,2020-04-04,10,8,-,The Players Club,Movie,No,2020-04-01,2,2020,3.5
292,The Power of the Dog,2021-12-09,10,7,3,The Power of the Dog,Movie,Yes,2021-12-01,8,2021,30.625
293,The Princess Switch 3: Roma…,2021-11-22,8,7,-,The Princess Switch 3: Roma…,Movie,Yes,2021-11-18,5,2021,21.5
294,The Princess Switch: Switch…,2020-11-25,9,4,-,The Princess Switch: Switch…,Movie,Yes,2020-11-19,6,2020,28.0
295,The Prom,2020-12-16,10,6,-,The Prom,Movie,Yes,2020-12-11,5,2020,20.8
296,The Roommate,2020-04-06,9,8,-,The Roommate,Movie,No,2020-04-01,5,2020,12.0
297,The Royal Treatment,2022-01-28,7,4,3,The Royal Treatment,Movie,Yes,2022-01-20,8,2022,32.125
298,The Secret Life of Pets 2,2021-03-28,9,-,-,The Secret Life of Pets 2,Movie,No,2019-12-27,1,2021,2.0
299,The Shack,2021-12-21,9,7,2,The Shack,Movie,No,2021-12-10,10,2021,44.0
300,The Sleepover,2020-08-27,10,7,-,The Sleepover,Movie,Yes,2020-08-21,6,2020,19.333333333333332
301,The Smurfs,2020-09-11,10,6,2,The Smurfs,Movie,No,2020-09-01,10,2020,42.4
302,The Smurfs 2,2020-09-28,9,6,4,The Smurfs 2,Movie,No,2020-09-15,12,2020,43.5
303,The Social Dilemma,2020-09-23,9,9,4,The Social Dilemma,Movie,Yes,2020-09-09,13,2020,29.692307692307693
304,The Stand-In,2021-04-14,7,6,-,The Stand-In,Movie,No,2021-04-10,2,2021,7.0
305,The Starling,2021-10-01,8,4,-,The Starling,Movie,Yes,2021-09-24,7,2021,28.142857142857142
306,The Take,2020-09-28,8,5,2,The Take,Movie,No,2020-09-16,11,2020,36.72727272727273
307,The Tinder Swindler,2022-02-17,10,6,4,The Tinder Swindler,Movie,Yes,2022-02-02,15,2022,40.666666666666664
308,The Town,2022-01-11,10,10,-,The Town,Movie,No,2020-07-01,15,2022,26.733333333333334
309,The Trial of the Chicago 7,2020-10-21,8,5,-,The Trial of the Chicago 7,Movie,Yes,2020-10-16,5,2020,21.2
310,The Twilight Saga: Breaking…,2021-07-28,10,8,7,The Twilight Saga: Breaking…,Movie,No,2021-07-16,9,2021,13.285714285714286
311,The Twilight Saga: Eclipse,2021-07-27,10,-,7,The Twilight Saga: Eclipse,Movie,No,2021-07-16,7,2021,10.428571428571429
312,The Twilight Saga: New Moon,2021-07-27,9,10,6,The Twilight Saga: New Moon,Movie,No,2021-07-16,9,2021,21.0
313,The Unforgivable,2022-01-02,10,-,5,The Unforgivable,Movie,Yes,2021-12-10,22,2022,102.95454545454545
314,The Vanished,2021-02-01,9,9,10,The Vanished,Movie,No,2021-01-15,12,2021,12.666666666666666
315,The Vault,2021-08-12,10,10,4,The Vault,Movie,No,2021-07-31,12,2021,35.416666666666664
316,The Weekend Away,2022-03-09,9,7,-,The Weekend Away,Movie,Yes,2022-03-03,6,2022,18.666666666666668
317,The White Tiger,2021-01-25,5,6,-,The White Tiger,Movie,Yes,2021-01-22,2,2021,8.0
318,The Willoughbys,2020-05-02,7,7,2,The Willoughbys,Movie,Yes,2020-04-22,10,2020,41.1
319,The Witcher: Nightmare of t…,2021-08-25,9,9,-,The Witcher: Nightmare of t…,Movie,Yes,2021-08-23,2,2021,3.0
320,The Woman in the Window,2021-05-25,3,3,1,The Woman in the Window,Movie,Yes,2021-05-14,11,2021,57.18181818181818
321,The Wrong Missy,2020-05-27,10,7,2,The Wrong Missy,Movie,Yes,2020-05-13,14,2020,64.28571428571429
322,Thereâs Someone Inside Your…,2021-10-11,6,6,-,Thereâs Someone Inside Your…,Movie,Yes,2021-10-06,5,2021,15.8
323,Things Heard & Seen,2021-05-06,8,8,-,Things Heard & Seen,Movie,Yes,2021-04-29,7,2021,28.571428571428573
324,Thunder Force,2021-04-26,8,8,4,Thunder Force,Movie,Yes,2021-04-09,16,2021,72.25
325,Titanic,2021-10-11,7,7,-,Titanic,Movie,No,2021-10-01,7,2021,9.142857142857142
326,To All the Boys Always and …,2021-02-19,8,7,-,To All the Boys Always and …,Movie,Yes,2021-02-12,7,2021,31.857142857142858
327,Training Day,2021-03-11,10,5,-,Training Day,Movie,No,2021-03-01,7,2021,16.0
328,Transformers: Revenge of th…,2022-02-04,8,9,-,Transformers: Revenge of th…,Movie,No,2022-02-01,3,2022,6.333333333333333
329,Tremors: Shrieker Island,2020-10-23,7,6,-,Tremors: Shrieker Island,Movie,No,2020-10-20,3,2020,6.666666666666667
330,Triple 9,2020-12-14,10,5,-,Triple 9,Movie,No,2020-12-08,6,2020,19.333333333333332
331,Trollhunters: Rise of the T…,2021-07-23,9,-,-,Trollhunters: Rise of the T…,Movie,Yes,2021-07-21,1,2021,2.0
332,Twilight,2021-07-24,4,4,7,Twilight,Movie,No,2015-03-02,8,2021,23.416666666666668
333,Tyler Perryâs A Madea Homec…,2022-03-08,10,7,3,Tyler Perryâs A Madea Homec…,Movie,Yes,2022-02-25,11,2022,46.63636363636363
334,Uncorked,2020-04-01,10,9,-,Uncorked,Movie,Yes,2020-03-27,4,2020,15.0
335,Uncut Gems,2020-06-04,9,9,2,Uncut Gems,Movie,No,2020-05-25,10,2020,44.5
336,Unknown,2021-01-10,10,-,3,Unknown,Movie,No,2021-01-01,7,2021,24.428571428571427
337,Vivo,2021-09-30,7,-,-,Vivo,Movie,Yes,2021-08-06,29,2021,109.93103448275862
338,War Dogs,2021-02-16,7,5,7,War Dogs,Movie,No,2021-02-08,8,2021,25.125
339,We Can Be Heroes,2021-01-18,10,9,5,We Can Be Heroes,Movie,Yes,2020-12-25,24,2021,86.20833333333333
340,Welcome Home Roscoe Jenkins,2021-09-08,9,8,-,Welcome Home Roscoe Jenkins,Movie,No,2021-09-01,7,2021,17.142857142857142
341,Welcome to Sudden Death,2020-10-05,9,7,-,Welcome to Sudden Death,Movie,No,2020-09-29,5,2020,13.0
342,What Lies Below,2021-04-12,9,6,3,What Lies Below,Movie,No,2021-04-04,8,2021,39.125
343,White Boy,2021-04-05,9,8,-,White Boy,Movie,No,2021-04-01,2,2021,4.0
344,White Christmas,2021-12-25,10,-,-,White Christmas,Movie,No,2020-11-15,1,2021,1.0
345,Why Did You Kill Me?,2021-04-22,10,7,3,Why Did You Kill Me?,Movie,Yes,2021-04-14,8,2021,33.375
346,Wish Dragon,2021-07-02,10,9,6,Wish Dragon,Movie,Yes,2021-06-11,21,2021,80.71428571428571
347,Work It,2020-08-14,8,6,-,Work It,Movie,Yes,2020-08-07,7,2020,27.142857142857142
348,Worth,2021-09-10,10,9,-,Worth,Movie,Yes,2021-09-03,5,2021,9.6
349,Xtreme,2021-06-09,8,8,-,Xtreme,Movie,Yes,2021-06-04,4,2021,7.5
350,Yes Day,2021-03-28,3,4,1,Yes Day,Movie,Yes,2021-03-12,15,2021,73.8
351,"Yes, God, Yes",2020-10-26,10,10,-,"Yes, God, Yes",Movie,No,2020-10-22,4,2020,8.75
352,Yogi Bear,2020-10-06,10,8,-,Yogi Bear,Movie,No,2020-10-01,4,2020,5.25
353,Your Highness,2021-05-04,9,-,-,Your Highness,Movie,No,2021-05-01,1,2021,2.0
354,Zookeeper,2020-08-02,7,8,-,Zookeeper,Movie,No,2020-07-26,3,2020,5.333333333333333
